;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,    Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc], [degree],   [pc]
 134, 15:00:0.61,  1:53:36.25, 1354.0,   0.00,   0.00,   -NaN,    NaN,   -NaN,    NaN,    0.792,    1.769,    0.349,    0.778,    4.5,     0.00,    179.6,   1177
 135, 15:00:0.30,  1:53:25.46, 1353.6,   0.00,   0.00,   3.36,   1.49,   2.60,   1.45,    3.718,    1.355,    1.636,    0.596,    3.6,     0.04,    111.7,    518
 136, 15:00:0.54,  1:53:28.45, 1353.4,  20.66,   6.75,   4.73,   1.46,   4.01,   1.65,    8.217,    0.939,    3.616,    0.413,    5.2,     0.04,     10.3,    414
 137, 15:00:0.34,  1:53:29.60, 1354.5,  22.28,  14.97,   6.39,   2.36,   4.04,   2.40,    7.748,    2.254,    3.409,    0.992,    3.6,     0.21,    309.3,    169
 138, 15:00:0.57,  1:53:29.48, 1346.1,   0.00,   0.00,   5.61,   8.69,   1.10,   2.61,    4.317,    8.148,    1.899,    3.585,    4.5,     0.04,    318.8,    521
 139, 15:00:0.57,  1:53:32.40, 1349.2,   0.00,   0.00,   3.16,   3.40,   1.24,   3.42,    2.360,    2.645,    1.038,    1.164,    4.7,     0.03,     31.7,    739
 140, 15:00:0.52,  1:53:28.14, 1348.6,  22.05,  11.95,   3.86,   1.29,   2.61,   1.08,    5.144,    1.802,    2.263,    0.793,    3.8,     0.06,    102.0,    328
 141, 15:00:0.54,  1:53:28.78, 1347.0,  40.23,   5.78,   5.45,   0.81,   3.95,   0.98,   19.633,    2.714,    8.638,    1.194,    4.9,     0.16,     67.2,    427
 142, 15:00:0.56,  1:53:32.04, 1369.3,   0.00,   0.00,   2.13,   1.86,   1.10,   3.00,    2.230,    2.886,    0.981,    1.270,    4.4,     0.04,    156.7,    692
 143, 15:00:0.58,  1:53:36.21, 1350.8,   0.00,   0.00,   3.46,   1.87,   2.45,   2.10,    1.660,    0.820,    0.731,    0.361,    3.5,     0.09,    300.7,   1116
 144, 15:00:0.22,  1:53:27.07, 1352.8,   0.00,   0.00,   9.22,   3.15,   6.78,   2.68,    9.163,    1.914,    4.032,    0.842,    4.9,     0.28,    297.6,    579
 145, 15:00:0.56,  1:53:30.49, 1355.3,  25.18,   7.10,   4.33,   1.25,   3.68,   1.59,    7.379,    1.876,    3.247,    0.825,    4.1,     0.06,    242.5,    569
 146, 15:00:0.60,  1:53:35.66, 1355.7,   0.00,   0.00,   4.67,   1.63,   2.85,   1.26,    4.306,    1.215,    1.895,    0.534,    3.9,     0.12,      3.7,   1105
 147, 15:00:0.60,  1:53:37.82, 1357.1,   0.00,   0.00,   5.01,   2.38,   2.68,   2.15,    3.641,    1.863,    1.602,    0.820,    3.5,     0.17,    267.8,   1316
 148, 15:00:0.21,  1:53:24.62, 1365.0,   0.00,   0.00,   6.27,   3.71,   5.52,   3.92,    4.422,    2.469,    1.946,    1.087,    3.0,     0.10,     80.5,    796
 149, 15:00:0.27,  1:53:26.49, 1354.3,  18.08,  19.16,   2.95,   1.41,   1.60,   2.35,    4.354,    3.014,    1.916,    1.326,    5.2,     0.07,    134.7,    480
 150, 15:00:0.23,  1:53:27.34, 1359.7,  22.48,  11.70,   4.10,   2.06,   2.43,   1.84,    3.977,    1.252,    1.750,    0.551,    4.1,     0.14,    208.3,    547
 151, 15:00:0.36,  1:53:29.43, 1355.5,   0.00,   0.00,   2.49,   2.77,   1.88,   4.35,    1.252,    1.577,    0.551,    0.694,    3.3,     0.01,    356.4,    111
 152, 15:00:0.29,  1:53:22.92, 1358.6,   0.00,   0.00,   4.73,   8.07,   1.52,   2.81,    3.038,    8.274,    1.337,    3.641,    3.2,     0.08,    104.7,    795
 153, 15:00:0.49,  1:53:28.11, 1356.9,   0.00,   0.00,   4.24,   2.28,   2.59,   1.63,    5.068,    1.574,    2.230,    0.693,    3.9,     0.14,    119.2,    259
 154, 15:00:0.57,  1:53:29.72, 1363.1,   0.00,   0.00,   1.51,   1.80,   0.52,   1.27,    8.644,    9.459,    3.803,    4.162,    5.6,     0.02,    349.6,    544
 155, 15:00:0.60,  1:53:30.50, 1358.3,   0.00,   0.00,   1.29,   1.72,   0.28,   0.86,    1.305,    1.885,    0.574,    0.829,    4.5,     0.02,    213.0,    665
 156, 15:00:0.64,  1:53:35.77, 1358.8,  28.15,  36.26,   2.46,   3.90,   1.07,   2.64,    2.885,    4.439,    1.269,    1.953,    4.9,     0.07,    128.7,   1196
 157, 15:00:0.75,  1:53:36.05, 1352.1,   0.00,   0.00,   2.53,   6.94,   0.55,   1.32,    6.533,   10.697,    2.875,    4.707,    2.8,     0.12,    192.1,   1485
 158, 15:00:0.34,  1:53:23.56, 1358.9,   0.00,   0.00,   2.11,   2.22,   1.74,   1.82,    2.320,    1.206,    1.021,    0.530,    3.2,     0.05,    170.0,    640
 159, 15:00:0.53,  1:53:28.84, 1361.1,  34.11,  21.13,   3.45,   3.06,   3.46,   4.53,   11.179,    8.553,    4.919,    3.763,    5.4,     0.01,    289.9,    406
 160, 15:00:0.30,  1:53:29.80, 1361.2,   0.00,   0.00,   2.58,   1.08,   1.62,   0.92,    3.332,    1.155,    1.466,    0.508,    5.0,     0.03,     14.2,    265
 161, 15:00:0.29,  1:53:25.33, 1364.0,  22.65,  15.42,   2.27,   0.93,   1.83,   1.21,    4.175,    1.036,    1.837,    0.456,    4.2,     0.05,     49.7,    554
 162, 15:00:0.25,  1:53:26.25, 1360.0,   0.00,   0.00,   -NaN,   -NaN,   -NaN,   -NaN,    0.737,    2.198,    0.324,    0.967,    4.3,      NaN,     -NaN,    560
 163, 15:00:0.31,  1:53:23.84, 1364.3,   0.00,   0.00,   1.93,   3.81,   -NaN,    NaN,    1.561,    3.043,    0.687,    1.339,    4.3,     0.02,     75.7,    666
 164, 15:00:0.21,  1:53:25.81, 1365.1,   0.00,   0.00,   3.44,   1.83,   2.14,   1.79,    2.498,    1.079,    1.099,    0.475,    3.6,     0.01,    134.8,    698
 165, 15:00:0.25,  1:53:16.75, 1364.0,   0.00,   0.00,   3.82,   7.10,   2.21,   5.87,    2.851,    2.896,    1.254,    1.274,    3.1,     0.06,    245.6,   1513
 166, 15:00:0.35,  1:53:23.91, 1368.1,  14.83,  17.94,   1.98,   1.80,   1.61,   1.74,    2.879,    1.045,    1.267,    0.460,    3.8,     0.09,    240.2,    588
 167, 15:00:0.26,  1:53:26.56, 1366.3,   0.00,   0.00,   2.32,   2.40,   0.40,   0.66,    2.096,    3.323,    0.922,    1.462,    4.4,     0.04,     24.3,    513
 168, 15:00:0.50,  1:53:27.64, 1366.6,  23.76,   9.31,   6.85,   2.08,   3.26,   1.39,   12.360,    2.992,    5.438,    1.316,    5.0,     0.15,    300.5,    302
 169, 15:00:0.44,  1:53:28.41, 1367.6,  26.25,  11.06,   3.06,   1.36,   1.68,   1.48,    5.624,    1.684,    2.475,    0.741,    3.9,     0.03,    260.6,    130
 170, 15:00:0.63,  1:53:35.07, 1361.3,   0.00,   0.00,   5.04,   3.81,   1.31,   3.02,    6.719,    7.757,    2.957,    3.413,    3.4,     0.06,    114.1,   1118
 171, 15:00:0.66,  1:53:35.62, 1366.0,   0.00,   0.00,   3.06,   2.94,   -NaN,   -NaN,    1.633,    2.325,    0.718,    1.023,    3.3,     0.07,    342.9,   1236
 172, 15:00:0.27,  1:53:20.74, 1369.7,   0.00,   0.00,   3.65,   1.46,   2.46,   1.43,    2.977,    0.593,    1.310,    0.261,    4.3,     0.04,    179.9,   1049
 173, 15:00:0.25,  1:53:24.78, 1366.0,   0.00,   0.00,   5.71,   3.06,   2.66,   2.47,    9.462,    6.198,    4.163,    2.727,    4.5,     0.12,    262.9,    683
 174, 15:00:0.22,  1:53:25.59, 1371.0,  19.85,  11.59,   2.46,   1.58,   1.77,   1.56,    4.178,    1.647,    1.838,    0.725,    3.6,     0.08,    162.0,    693
 175, 15:00:0.30,  1:53:25.88, 1364.1,  27.74,   6.10,   5.04,   1.10,   4.01,   1.24,    9.459,    1.745,    4.162,    0.768,    4.0,     0.13,    292.3,    473
 176, 15:00:0.35,  1:53:28.98, 1365.2,   0.00,   0.00,   0.46,   1.27,   0.89,   1.74,    1.514,    2.458,    0.666,    1.081,    3.6,     0.05,    304.3,    105
 177, 15:00:0.67,  1:53:36.54, 1368.9,   0.00,   0.00,   1.55,   1.19,   1.58,   2.66,    0.595,    0.693,    0.262,    0.305,    3.1,     0.01,    327.4,   1333
 178, 15:00:0.25,  1:53:27.15, 1369.9,   0.00,   0.00,   6.33,   8.49,   1.04,   3.06,    4.617,    4.415,    2.031,    1.943,    3.3,     0.08,     58.6,    504
 179, 15:00:0.57,  1:53:31.31, 1375.4,  21.01,  18.81,   5.79,   1.93,   4.12,   1.72,   14.074,    6.141,    6.193,    2.702,    4.5,     0.11,    275.2,    652
 180, 15:00:0.21,  1:53:26.21, 1381.4,   0.00,   0.00,   5.56,   3.56,   1.43,   3.05,    4.427,    4.506,    1.948,    1.983,    5.0,     0.05,    151.3,    667
 181, 15:00:0.57,  1:53:30.92, 1370.5,  26.92,  10.22,   3.03,   1.27,   2.09,   1.00,    5.210,    1.149,    2.293,    0.505,    4.3,     0.08,     86.3,    637
 182, 15:00:0.62,  1:53:34.72, 1362.3,  18.70,  11.84,   7.10,   2.72,   4.88,   3.34,    6.863,    2.182,    3.020,    0.960,    3.2,     0.20,    239.2,   1056
 183, 15:00:1.13,  1:53:18.58, 1372.2,   0.00,   0.00,   2.11,   4.55,   -NaN,   -NaN,    0.907,    2.242,    0.399,    0.986,    3.0,     0.07,    338.8,   2078
 184, 15:00:0.46,  1:53:27.76, 1375.0,   0.00,   0.00,   2.57,   3.44,   0.78,   2.10,    1.693,    1.945,    0.745,    0.856,    3.8,     0.07,    231.1,    199
 185, 15:00:0.33,  1:53:29.56, 1372.0,   0.00,   0.00,   2.88,   2.62,   1.80,   1.65,    1.495,    0.769,    0.658,    0.338,    3.5,     0.07,     87.7,    174
 186, 15:00:0.57,  1:53:29.97, 1372.2,  22.91,  11.10,   3.45,   1.02,   2.76,   1.19,    9.915,    1.821,    4.363,    0.801,    4.5,     0.02,    149.2,    565
 187, 15:00:0.60,  1:53:31.76, 1374.1,   0.00,   0.00,   1.14,   2.65,   -NaN,   -NaN,    1.966,    2.970,    0.865,    1.307,    3.4,     0.00,    187.8,    777
 188, 15:00:0.97,  1:53:32.05, 1374.6,   0.00,   0.00,   4.03,   1.97,   2.87,   2.12,    4.284,    0.715,    1.885,    0.315,    4.1,     0.04,     39.7,   1810
 189, 15:00:0.63,  1:53:34.18, 1373.2,   0.00,   0.00,   3.07,   3.21,   1.91,   1.97,    1.593,    1.208,    0.701,    0.532,    3.1,     0.10,    247.7,   1043
 190, 15:00:0.32,  1:53:24.20, 1376.0,   0.00,   0.00,   4.43,   5.13,   1.09,   2.35,    5.260,    7.392,    2.315,    3.253,    4.3,     0.03,    233.1,    601
 191, 15:00:0.27,  1:53:26.08, 1376.1,   0.00,   0.00,   5.25,   5.21,   1.33,   2.17,    2.935,    3.151,    1.291,    1.386,    4.2,     0.06,    279.3,    526
 192, 15:00:0.57,  1:53:30.53, 1375.4,  26.27,  15.05,   3.62,   1.50,   2.08,   1.90,    6.062,    1.961,    2.667,    0.863,    4.6,     0.08,     43.4,    593
 193, 15:00:0.99,  1:53:30.81, 1378.5,   0.00,   0.00,   4.67,   1.88,   3.02,   2.19,    3.248,    1.356,    1.429,    0.597,    3.6,     0.11,    262.7,   1787
 194, 15:00:0.83,  1:53:32.35, 1376.6,   0.00,   0.00,   3.88,   4.99,   0.12,   0.27,    2.903,    3.322,    1.277,    1.462,    3.0,     0.06,    269.3,   1432
 195, 15:00:0.49,  1:53:27.45, 1384.2,  37.81,   6.03,   6.96,   1.30,   5.29,   1.31,   20.965,    2.843,    9.225,    1.251,    4.3,     0.12,    312.3,    260
 196, 15:00:0.58,  1:53:32.92, 1377.3,   0.00,   0.00,   2.77,   3.27,   1.27,   3.07,    1.198,    1.762,    0.527,    0.775,    3.5,     0.03,    292.6,    820
 197, 15:00:0.31,  1:53:23.32, 1378.0,   0.00,   0.00,   4.09,   8.13,   0.87,   2.12,    3.122,    8.144,    1.373,    3.584,    3.5,     0.11,    248.9,    715
 198, 15:00:0.53,  1:53:29.14, 1378.2,  35.30,   9.70,   6.11,   1.19,   5.40,   1.48,   13.263,    1.961,    5.836,    0.863,    4.8,     0.05,     62.1,    408
 199, 15:00:0.56,  1:53:30.75, 1381.0,   0.00,   0.00,   2.18,   1.42,   1.12,   2.09,    2.314,    0.948,    1.018,    0.417,    5.1,     0.06,     57.8,    595
 200, 15:00:0.52,  1:53:31.30, 1381.7,   0.00,   0.00,   2.88,   1.95,   -NaN,   -NaN,    0.797,    1.021,    0.351,    0.449,    4.3,     0.12,    102.0,    518
 201, 15:00:0.30,  1:53:20.82, 1381.2,  35.38,  10.64,   8.42,   2.28,   6.40,   2.32,   34.660,    7.713,   15.250,    3.394,    4.7,     0.08,     79.8,    993
 202, 15:00:0.57,  1:53:28.42, 1394.9,  71.82,   1.98,  26.62,   0.50,  25.02,   0.62,  364.441,    8.245,  160.354,    3.628,    9.3,     0.11,    162.3,    495
 203, 15:00:0.54,  1:53:31.66, 1380.7,   0.00,   0.00,   3.46,   2.65,   1.09,   2.42,    2.685,    1.779,    1.182,    0.783,    4.2,     0.08,    234.3,    600
 204, 15:00:0.57,  1:53:31.85, 1379.4,  16.18,  11.71,   3.25,   1.46,   2.38,   1.49,    3.289,    0.858,    1.447,    0.378,    4.5,     0.10,    100.0,    699
 205, 15:00:0.59,  1:53:33.57, 1381.3,   0.00,   0.00,   1.67,   2.12,   1.28,   3.69,    2.993,    3.701,    1.317,    1.629,    4.0,     0.01,    292.7,    886
 206, 15:00:0.64,  1:53:33.57, 1382.6,   0.00,   0.00,   2.65,   2.48,   1.29,   4.70,    1.124,    1.817,    0.494,    0.799,    3.6,     0.02,    350.7,   1011
 207, 15:00:0.45,  1:53:28.33, 1381.2,   0.00,   0.00,   3.05,   3.31,   3.79,   2.86,    8.155,    4.216,    3.588,    1.855,    4.8,     0.08,    334.9,    148
 208, 15:00:0.32,  1:53:28.88, 1383.5,   0.00,   0.00,   1.75,   2.14,   1.30,   2.07,    1.111,    1.377,    0.489,    0.606,    4.5,     0.02,    212.5,    205
 209, 15:00:0.33,  1:53:22.50, 1385.4,   0.00,   0.00,   3.95,   2.52,   2.20,   1.94,    3.151,    1.676,    1.386,    0.738,    3.3,     0.02,    161.7,    765
 210, 15:00:0.33,  1:53:22.99, 1382.7,   0.00,   0.00,   3.43,   3.08,   2.40,   2.86,    4.102,    1.245,    1.805,    0.548,    3.4,     0.12,    199.1,    710
 211, 15:00:0.53,  1:53:27.51, 1384.6,  18.13,  21.89,   4.07,   2.25,   3.09,   2.58,    6.921,    5.000,    3.045,    2.200,    4.3,     0.12,     69.8,    362
 212, 15:00:0.47,  1:53:28.48, 1387.9,   0.00,   0.00,   2.55,   1.13,   2.17,   1.40,    2.937,    0.974,    1.292,    0.429,    3.6,     0.02,     40.8,    211
 213, 15:00:0.28,  1:53:28.81, 1389.7,  75.34,   2.20,  17.54,   0.42,   9.34,   0.41,  191.880,    4.837,   84.427,    2.128,    9.2,     0.32,    241.7,    320
 214, 15:00:0.57,  1:53:29.05, 1387.6,  47.38,  20.07,   7.52,   4.86,   4.98,   2.99,   42.841,   21.133,   18.850,    9.298,    7.8,     0.12,     17.7,    523
 215, 15:00:0.58,  1:53:29.74, 1384.1,  44.35,  17.28,   4.45,   2.65,   3.61,   2.52,   21.695,    8.816,    9.546,    3.879,    6.7,     0.11,    221.2,    589
 216, 15:00:0.59,  1:53:31.60, 1386.2,   0.00,   0.00,   3.02,   1.41,   1.69,   1.52,    1.555,    0.948,    0.684,    0.417,    3.0,     0.06,    313.1,    734
 217, 15:00:0.97,  1:53:31.63, 1382.3,  21.53,  32.77,   4.69,   6.08,   4.16,   8.68,   10.578,   14.958,    4.655,    6.582,    4.9,     0.10,    151.3,   1787
 218, 15:00:0.20,  1:53:18.54, 1386.9,   0.00,   0.00,   6.09,   7.13,   -NaN,   -NaN,    3.413,    5.538,    1.502,    2.437,    3.3,     0.10,     63.7,   1403
 219, 15:00:0.21,  1:53:25.91, 1384.1,  27.38,  11.69,   5.70,   2.07,   4.64,   2.34,   10.232,    2.266,    4.502,    0.997,    4.6,     0.07,    239.9,    680
 220, 15:00:0.54,  1:53:29.52, 1388.9,  27.53,  20.04,   3.63,   2.75,   2.55,   2.48,    8.387,    4.554,    3.690,    2.004,    5.3,     0.05,    341.5,    455
 221, 15:00:0.51,  1:53:31.78, 1388.7,   0.00,   0.00,   1.36,   1.69,   1.01,   2.95,    1.555,    1.407,    0.684,    0.619,    3.5,     0.04,     60.4,    543
 222, 15:00:0.72,  1:53:31.98, 1388.0,   0.00,   0.00,    NaN,    NaN,    NaN,    NaN,      NaN,      NaN,      NaN,      NaN,    3.1,      NaN,     -NaN,   1099
 223, 15:00:1.04,  1:53:32.87, 1388.0,   0.00,   0.00,    NaN,    NaN,    NaN,    NaN,      NaN,      NaN,      NaN,      NaN,    2.8,      NaN,     -NaN,   2045
 224, 15:00:0.33,  1:53:20.86, 1391.6,   0.00,   0.00,   2.86,   1.87,   2.20,   1.49,    3.177,    1.118,    1.398,    0.492,    3.8,     0.07,    181.2,    947
 225, 15:00:0.27,  1:53:25.05, 1387.8,  33.08,  20.36,  11.06,   6.03,   4.57,   3.69,   34.580,   21.279,   15.215,    9.363,    5.1,     0.24,    304.5,    613
 226, 15:00:0.59,  1:53:30.46, 1390.2,  21.00,  15.76,   2.96,   1.08,   1.50,   1.28,    3.501,    1.137,    1.540,    0.500,    4.0,     0.04,    203.7,    652
 227, 15:00:0.58,  1:53:31.07, 1389.7,  25.51,  17.18,   5.52,   2.17,   3.32,   2.53,    8.655,    3.202,    3.808,    1.409,    5.7,     0.07,     75.1,    660
 228, 15:00:0.57,  1:53:31.80, 1389.0,   0.00,   0.00,   3.52,   1.56,   2.68,   2.13,    5.585,    2.074,    2.457,    0.912,    3.6,     0.08,    136.6,    678
 229, 15:00:0.59,  1:53:28.98, 1389.2,  41.86,   4.31,   5.71,   0.73,   4.86,   0.58,   24.435,    1.843,   10.752,    0.811,    7.3,     0.04,     18.9,    577
 230, 15:00:0.57,  1:53:30.03, 1390.7,   0.00,   0.00,   3.65,   1.35,   3.09,   1.51,    6.477,    1.785,    2.850,    0.785,    4.1,     0.05,    189.6,    565
 231, 15:00:0.96,  1:53:30.24, 1392.6,   0.00,   0.00,   3.46,   3.65,   1.11,   1.85,    1.458,    2.753,    0.642,    1.211,    3.4,     0.03,    350.7,   1682
 232, 15:00:0.31,  1:53:20.29, 1393.0,   0.00,   0.00,   1.66,   2.75,   1.31,   3.24,    3.562,    4.114,    1.567,    1.810,    4.0,     0.02,     55.0,   1029
 233, 15:00:0.27,  1:53:25.46, 1393.7,  34.78,  13.70,   3.39,   1.34,   2.46,   2.16,    7.837,    2.469,    3.448,    1.086,    5.1,     0.04,    240.3,    577
 234, 15:00:0.21,  1:53:26.35, 1394.0,   0.00,   0.00,   4.77,   3.78,   2.16,   5.63,    5.957,    9.944,    2.621,    4.375,    4.3,     0.04,     75.1,    641
 235, 15:00:0.53,  1:53:27.61, 1393.9,   0.00,   0.00,   4.40,   5.00,   1.96,   5.69,    3.751,    2.323,    1.650,    1.022,    5.3,     0.06,    254.0,    375
 236, 15:00:0.30,  1:53:20.94, 1397.4,   0.00,   0.00,   3.20,   3.97,   0.49,   1.24,    2.851,    3.690,    1.254,    1.624,    3.9,     0.08,    287.1,    975
 237, 15:00:0.53,  1:53:28.81, 1394.5,  32.63,   5.32,   5.04,   1.04,   3.64,   0.77,   14.393,    1.609,    6.333,    0.708,    5.3,     0.05,    125.7,    407
 238, 15:00:0.51,  1:53:30.67, 1394.0,   0.00,   0.00,   3.54,   1.52,   2.63,   1.50,    5.191,    2.103,    2.284,    0.925,    3.1,     0.05,    169.0,    456
 239, 15:00:0.99,  1:53:31.11, 1396.0,   0.00,   0.00,   3.26,   2.81,   1.49,   2.76,    1.859,    3.228,    0.818,    1.420,    3.4,     0.07,    123.0,   1811
 240, 15:00:0.58,  1:53:31.24, 1396.1,   0.00,   0.00,   2.79,   1.91,   0.86,   1.91,    5.803,    3.694,    2.553,    1.625,    4.6,     0.06,    294.2,    683
 241, 15:00:0.62,  1:53:32.51, 1395.9,   0.00,   0.00,   3.39,   3.87,   0.34,   0.83,    2.442,    3.131,    1.075,    1.378,    3.7,     0.04,     50.0,    888
 242, 15:00:0.57,  1:53:30.46, 1398.3,   0.00,   0.00,   2.04,   2.81,   0.98,   2.36,    2.757,    3.308,    1.213,    1.456,    4.4,     0.02,    277.2,    590
 243, 15:00:0.65,  1:53:32.99, 1401.3,   0.00,   0.00,   2.70,   2.02,   0.80,   1.74,    4.142,    4.309,    1.822,    1.896,    3.5,     0.09,      5.6,    979
 244, 15:00:0.62,  1:53:33.11, 1396.9,   0.00,   0.00,   4.22,   2.24,   2.27,   1.33,    4.385,    1.564,    1.929,    0.688,    3.4,     0.12,     20.5,    936
 245, 15:00:0.51,  1:53:27.26, 1400.1,  34.61,   9.61,   3.55,   1.12,   2.38,   0.96,   11.228,    3.067,    4.940,    1.349,    6.0,     0.06,    220.1,    323
 246, 15:00:0.53,  1:53:28.26, 1398.5,   0.00,   0.00,   5.04,   6.38,   0.64,   1.62,    2.549,    2.877,    1.122,    1.266,    3.6,     0.08,     86.6,    379
 247, 15:00:0.26,  1:53:25.63, 1402.2,   0.00,   0.00,   3.03,   3.71,   0.66,   1.18,    2.023,    3.008,    0.890,    1.324,    4.1,     0.04,     33.5,    587
 248, 15:00:0.22,  1:53:26.16, 1403.1,  36.31,  17.26,   3.79,   1.29,   2.11,   1.89,    8.590,    4.799,    3.780,    2.112,    5.0,     0.11,    184.0,    637
 249, 15:00:0.58,  1:53:30.83, 1402.3,  30.82,  14.78,   5.63,   2.46,   4.51,   3.50,    9.857,    3.516,    4.337,    1.547,    5.0,     0.01,    339.5,    653
 250, 15:00:0.59,  1:53:32.12, 1397.9,   0.00,   0.00,   5.05,   2.60,   4.62,   2.33,    4.262,    1.779,    1.875,    0.783,    3.1,     0.12,     47.2,    768
 251, 15:00:0.60,  1:53:30.32, 1405.9,   0.00,   0.00,   5.59,   4.73,   1.88,   4.38,    3.287,    3.774,    1.446,    1.661,    4.5,     0.12,    355.5,    658
 252, 15:00:0.34,  1:53:20.31, 1401.6,   0.00,   0.00,   3.34,   4.15,   2.36,   3.91,    3.460,    3.613,    1.522,    1.590,    3.9,     0.02,    211.9,    996
 253, 15:00:0.28,  1:53:24.71, 1406.8,   0.00,   0.00,   2.78,   1.23,   1.99,   1.23,    2.831,    0.807,    1.246,    0.355,    5.3,     0.06,      4.3,    626
 254, 15:00:0.26,  1:53:25.87, 1405.5,   0.00,   0.00,   4.66,   2.98,   2.38,   2.43,    3.110,    1.003,    1.368,    0.441,    4.4,     0.09,    156.8,    563
 255, 15:00:0.52,  1:53:27.18, 1411.7,  35.45,   4.99,   8.67,   1.12,   7.69,   0.93,   25.577,    1.716,   11.254,    0.755,    6.4,     0.07,    300.1,    350
 256, 15:00:0.54,  1:53:28.71, 1407.5,  28.17,   4.02,   4.57,   0.89,   4.19,   0.79,   14.480,    1.831,    6.371,    0.806,    6.0,     0.06,     78.2,    419
 257, 15:00:0.60,  1:53:31.84, 1408.5,   0.00,   0.00,   1.30,   1.67,   0.85,   1.98,    2.875,    2.662,    1.265,    1.171,    3.9,     0.03,    260.4,    758
 258, 15:00:0.38,  1:53:19.82, 1408.9,   0.00,   0.00,   1.06,   1.92,   0.26,   0.67,    0.664,    0.863,    0.292,    0.380,    3.6,     0.02,     45.2,   1007
 259, 15:00:0.26,  1:53:25.01, 1408.4,  30.42,  23.09,   5.37,   3.72,   2.87,   3.63,   13.976,    8.838,    6.149,    3.889,    5.2,     0.13,    337.4,    647
 260, 15:00:0.47,  1:53:27.14, 1408.1,  28.52,  32.26,   4.92,   5.81,   1.92,   3.58,    7.925,    8.502,    3.487,    3.741,    4.5,     0.07,    261.3,    241
 261, 15:00:0.59,  1:53:28.94, 1409.1,  41.41,   4.41,   7.71,   0.77,   6.32,   0.69,   26.942,    2.331,   11.855,    1.026,    6.7,     0.09,    255.6,    580
 262, 15:00:0.56,  1:53:29.25, 1408.9,  29.84,   7.44,   6.02,   0.81,   4.83,   1.16,   16.498,    2.059,    7.259,    0.906,    5.5,     0.07,    245.9,    483
 263, 15:00:0.60,  1:53:31.20, 1412.7,  39.33,   7.13,   8.74,   2.16,   6.75,   1.99,   24.535,    4.205,   10.795,    1.850,    4.6,     0.16,    276.7,    713
 264, 15:00:0.23,  1:53:24.51, 1412.0,   0.00,   0.00,   -NaN,   -NaN,   -NaN,   -NaN,    0.693,    1.698,    0.305,    0.747,    4.5,     0.00,     50.8,    764
 265, 15:00:0.36,  1:53:20.09, 1412.1,   0.00,   0.00,   5.14,   3.75,   2.68,   2.24,    4.938,    2.449,    2.173,    1.077,    3.2,     0.20,    130.6,    998
 266, 15:00:0.57,  1:53:27.42, 1408.9,  38.12,   4.06,   8.72,   0.59,   6.89,   0.62,   43.176,    2.145,   18.997,    0.944,    9.1,     0.12,    278.1,    478
 267, 15:00:0.58,  1:53:29.46, 1412.2,  23.86,   6.32,   3.47,   1.04,   2.82,   1.35,    5.456,    0.850,    2.400,    0.374,    4.8,     0.06,    286.9,    570
 268, 15:00:0.61,  1:53:29.77, 1408.7,   0.00,   0.00,   4.03,   1.30,   3.21,   1.56,    3.656,    1.575,    1.608,    0.693,    3.7,     0.06,      4.1,    678
 269, 15:00:0.62,  1:53:31.58, 1414.7,   0.00,   0.00,   2.75,   1.75,   2.57,   1.71,    2.398,    1.094,    1.055,    0.481,    3.5,     0.05,     11.5,    805
 270, 15:00:0.23,  1:53:25.91, 1409.5,  18.79,  10.77,   9.58,   2.68,   7.31,   2.84,    9.617,    2.516,    4.231,    1.107,    6.0,     0.03,    339.7,    646
 271, 15:00:0.58,  1:53:30.47, 1414.8,  25.52,   8.41,   5.33,   1.68,   3.79,   2.26,    8.014,    1.642,    3.526,    0.723,    4.8,     0.12,    247.8,    629
 272, 15:00:0.62,  1:53:31.94, 1413.0,   0.00,   0.00,   1.76,   1.53,   1.24,   1.37,    1.754,    0.569,    0.772,    0.250,    3.7,     0.02,    211.1,    834
 273, 15:00:0.34,  1:53:20.46, 1413.8,   0.00,   0.00,   3.12,   2.33,   1.97,   2.99,    1.364,    1.711,    0.600,    0.753,    3.6,     0.07,    138.8,    977
 274, 15:00:0.54,  1:53:29.30, 1412.5,  31.59,   7.63,   8.14,   1.42,   4.69,   1.15,   11.967,    1.954,    5.265,    0.860,    4.8,     0.11,    109.6,    432
 275, 15:00:0.38,  1:53:21.30, 1418.6,   0.00,   0.00,   1.86,   1.56,   0.76,   1.87,    1.176,    2.226,    0.518,    0.979,    3.3,     0.03,     95.0,    839
 276, 15:00:0.27,  1:53:24.48, 1418.6,  23.63,  11.16,   4.26,   1.90,   2.56,   2.24,    5.241,    1.460,    2.306,    0.642,    3.9,     0.05,    278.1,    673
 277, 15:00:0.22,  1:53:26.20, 1415.4,  44.80,  23.21,  11.16,   8.04,   2.64,   4.05,   22.143,   12.265,    9.743,    5.397,    5.2,     0.27,    252.6,    644
