;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,  d_Omega,    Theta,  d_Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc],[km/s/pc], [degree], [degree],   [pc]
 191, 12:27:26.7,  11:06:27.5, 1282.5,  32.55,   2.51,   5.09,   0.44,   3.24,   0.42,     9.54,     0.55,     4.45,     0.26,    6.2,     0.27,     0.01,     170.,       4.,    190
 192, 12:27:26.7,  11:06:28.3, 1281.3,  14.70,   3.43,   5.80,   1.18,   3.36,   0.90,     2.86,     0.53,     1.33,     0.25,    4.3,     0.28,     0.06,     236.,      16.,    318
 193, 12:27:26.8,  11:06:25.9, 1289.9,  13.53,   5.03,   5.64,   1.77,   2.98,   1.76,     1.94,     0.47,     0.90,     0.22,    3.2,     0.59,     0.33,     131.,      38.,    485
 194, 12:27:26.7,  11:06:27.9, 1286.5,  30.93,   2.34,  10.09,   0.88,   3.67,   0.59,     8.33,     0.70,     3.88,     0.33,    4.7,     0.47,     0.02,     209.,       4.,    253
 195, 12:27:26.7,  11:06:26.5, 1286.8,  18.30,   5.35,   5.07,   1.03,   2.42,   0.67,     3.43,     0.52,     1.60,     0.24,    3.8,     0.20,     0.04,     143.,      16.,    339
 196, 12:27:26.8,  11:06:28.4, 1292.9,  21.37,   3.87,   6.69,   1.55,   3.43,   1.10,     3.10,     0.44,     1.45,     0.20,    3.9,     0.48,     0.09,     214.,      14.,    367
 197, 12:27:26.7,  11:06:28.1, 1290.1,   7.32,   4.90,   3.54,   1.45,   2.55,   1.39,     0.92,     0.27,     0.43,     0.13,    3.4,     0.04,     0.15,     192.,     128.,    291
 198, 12:27:26.8,  11:06:26.4, 1294.2,  11.32,   9.59,   2.96,   2.18,   1.46,   1.73,     0.60,     0.43,     0.28,     0.20,    2.2,     0.10,     0.12,      72.,     155.,    392
 199, 12:27:26.7,  11:06:27.4, 1301.5,  29.09,   1.95,   6.69,   0.58,   3.23,   0.40,     9.53,     0.65,     4.44,     0.30,    5.1,     0.34,     0.01,     174.,       2.,    246
 200, 12:27:26.7,  11:06:28.2, 1297.3,  12.10,   5.21,   5.89,   1.57,   2.84,   1.07,     1.92,     0.42,     0.90,     0.19,    3.5,     0.43,     0.20,     239.,      34.,    327
 201, 12:27:26.8,  11:06:26.4, 1303.1,   0.00,   0.00,   4.69,   2.79,   2.01,   1.83,     0.95,     0.43,     0.44,     0.20,    2.4,     0.00,     0.00,       0.,       0.,    398
 202, 12:27:26.7,  11:06:26.6, 1300.1,  17.66,   4.32,   4.79,   1.43,   1.96,   0.79,     1.72,     0.36,     0.80,     0.17,    4.2,     0.39,     0.12,     147.,      25.,    342
 203, 12:27:26.7,  11:06:27.0, 1304.4,  22.98,   4.28,   5.37,   1.04,   2.10,   0.66,     2.57,     0.44,     1.20,     0.20,    4.1,     0.34,     0.08,     150.,      18.,    297
 204, 12:27:26.8,  11:06:26.8, 1314.4,  13.53,   5.57,   4.12,   0.89,   2.50,   0.92,     2.49,     0.42,     1.16,     0.19,    3.6,     0.34,     0.09,     119.,      20.,    356
 205, 12:27:26.7,  11:06:27.1, 1314.2,  16.05,   2.76,   4.10,   0.71,   2.74,   0.66,     2.59,     0.46,     1.21,     0.21,    4.7,     0.26,     0.03,     130.,      10.,    303
 206, 12:27:26.8,  11:06:27.9, 1314.2,  19.62,   1.99,   5.92,   0.64,   4.46,   0.65,     5.92,     0.56,     2.76,     0.26,    4.6,     0.42,     0.05,     241.,       7.,    318
 207, 12:27:26.8,  11:06:27.5, 1319.3,  19.18,   2.86,   5.02,   0.83,   2.44,   0.58,     2.93,     0.37,     1.36,     0.17,    4.8,     0.25,     0.04,     190.,      13.,    301
 208, 12:27:26.8,  11:06:28.2, 1320.0,  21.93,   2.61,   8.15,   1.20,   4.09,   0.72,     6.54,     0.67,     3.05,     0.31,    4.1,     0.44,     0.05,     221.,       8.,    395
 209, 12:27:26.8,  11:06:27.8, 1325.1,  13.78,   3.60,   4.74,   0.88,   3.32,   0.93,     2.23,     0.49,     1.04,     0.23,    3.6,     0.37,     0.16,     174.,      33.,    348
 210, 12:27:26.8,  11:06:27.2, 1325.9,  20.92,   3.11,   3.59,   0.80,   2.52,   0.63,     2.90,     0.36,     1.35,     0.17,    4.2,     0.10,     0.02,     142.,      18.,    331
 211, 12:27:26.8,  11:06:27.0, 1329.9,   0.00,   0.00,   4.86,   1.84,   3.09,   1.64,     1.14,     0.28,     0.53,     0.13,    3.0,     0.00,     0.00,       0.,       0.,    372
 212, 12:27:26.8,  11:06:27.6, 1329.6,   0.00,   0.00,   5.22,   1.47,   1.97,   0.86,     1.56,     0.35,     0.73,     0.16,    3.6,     0.00,     0.00,       0.,       0.,    342
 213, 12:27:26.8,  11:06:27.1, 1339.2,   0.00,   0.00,   3.66,   1.64,   2.47,   1.37,     0.92,     0.34,     0.43,     0.16,    2.9,     0.00,     0.00,       0.,       0.,    415
 214, 12:27:26.8,  11:06:27.7, 1336.3,  16.07,   3.87,   2.61,   0.48,   1.73,   0.61,     1.82,     0.46,     0.85,     0.22,    3.5,     0.14,     0.05,     224.,      24.,    382
 215, 12:27:26.9,  11:06:28.0, 1339.5,  24.37,   7.04,   4.93,   2.19,   1.53,   0.80,     1.68,     0.38,     0.78,     0.18,    3.2,     0.33,     0.08,     286.,      21.,    441
 216, 12:27:26.8,  11:06:27.2, 1337.5,  22.75,   3.59,   3.80,   0.63,   2.05,   0.73,     3.15,     0.55,     1.47,     0.26,    3.5,     0.12,     0.03,     159.,      27.,    371
 217, 12:27:26.9,  11:06:27.2, 1344.3,  20.42,   3.92,   2.23,   0.68,   1.58,   0.89,     1.94,     0.34,     0.90,     0.16,    3.8,     0.01,     0.04,      85.,     138.,    428
