;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,  d_Omega,    Theta,  d_Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc],[km/s/pc], [degree], [degree],   [pc]
  99, 12:27:26.5,  11:06:26.2, 1072.1,  14.05,   4.05,   5.19,   1.17,   4.32,   1.36,     2.28,     0.60,     1.06,     0.28,    3.2,     0.16,     0.06,      86.,      56.,    311
 100, 12:27:26.5,  11:06:28.6, 1067.9,  13.48,   5.78,   3.85,   1.42,   1.81,   1.00,     1.04,     0.27,     0.48,     0.13,    3.4,     0.15,     0.13,     181.,      84.,    211
 101, 12:27:26.5,  11:06:28.3, 1075.1,   0.00,   0.00,   2.16,   1.40,   1.92,   1.23,     0.61,     0.41,     0.29,     0.19,    2.5,     0.00,     0.00,       0.,       0.,    131
 102, 12:27:26.5,  11:06:27.0, 1082.4,  10.75,   4.99,   3.97,   1.32,   2.97,   1.12,     1.70,     0.39,     0.79,     0.18,    3.2,     0.33,     0.30,     209.,     111.,    148
 103, 12:27:26.5,  11:06:26.7, 1074.6,  15.93,   3.53,   5.41,   1.11,   3.81,   1.20,     3.30,     0.46,     1.54,     0.21,    3.6,     0.64,     0.21,     237.,      25.,    203
 104, 12:27:26.5,  11:06:28.3, 1085.2,  12.86,   5.61,   4.15,   1.15,   2.95,   0.99,     2.32,     0.60,     1.08,     0.28,    3.5,     0.23,     0.12,     145.,      34.,    132
 105, 12:27:26.5,  11:06:25.4, 1085.5,  10.28,   7.15,   4.15,   1.64,   2.37,   1.46,     1.03,     0.43,     0.48,     0.20,    2.7,     0.19,     0.10,     178.,      66.,    477
 106, 12:27:26.5,  11:06:25.9, 1080.2,  23.23,   4.95,   7.15,   1.12,   3.71,   0.97,     3.99,     0.49,     1.86,     0.23,    3.9,     0.63,     0.13,     167.,      12.,    366
 107, 12:27:26.5,  11:06:25.6, 1090.8,   0.00,   0.00,   3.96,   2.03,   3.00,   2.73,     0.38,     0.20,     0.18,     0.09,    3.0,     0.00,     0.00,       0.,       0.,    442
 108, 12:27:26.5,  11:06:25.9, 1097.0,  17.71,   3.72,   6.42,   1.42,   3.04,   1.32,     2.18,     0.46,     1.01,     0.21,    3.0,     0.07,     0.08,     151.,     132.,    371
 109, 12:27:26.5,  11:06:29.8, 1100.4,   0.00,   0.00,   2.51,   1.56,   1.07,   1.12,     0.63,     0.30,     0.29,     0.14,    2.8,     0.00,     0.00,       0.,       0.,    460
 110, 12:27:26.5,  11:06:26.5, 1105.5,  31.80,   2.23,  13.03,   1.04,   5.18,   0.53,    12.92,     1.04,     6.02,     0.48,    4.0,     0.85,     0.04,     184.,       3.,    245
 111, 12:27:26.5,  11:06:28.2, 1100.7,  17.05,   4.34,   4.61,   1.28,   3.15,   1.20,     2.40,     0.66,     1.12,     0.31,    3.3,     0.22,     0.16,     165.,      50.,    116
 112, 12:27:26.5,  11:06:25.5, 1103.1,  11.35,   6.52,   6.36,   1.46,   3.88,   1.51,     1.86,     0.51,     0.87,     0.24,    3.4,     0.37,     0.14,     212.,      28.,    446
 113, 12:27:26.5,  11:06:27.2, 1109.0,   0.00,   0.00,   2.07,   1.99,   1.76,   1.92,     0.32,     0.28,     0.15,     0.13,    2.3,     0.00,     0.00,       0.,       0.,    104
 114, 12:27:26.5,  11:06:28.8, 1106.7,  14.22,   8.62,   4.15,   1.19,   2.72,   0.84,     2.93,     0.70,     1.37,     0.32,    3.6,     0.13,     0.06,     192.,      23.,    246
 115, 12:27:26.5,  11:06:29.9, 1109.6,   0.00,   0.00,   3.72,   1.72,   3.15,   1.80,     0.79,     0.24,     0.37,     0.11,    2.9,     0.00,     0.00,       0.,       0.,    494
 116, 12:27:26.5,  11:06:25.7, 1112.8,  11.65,   5.46,   5.30,   1.36,   3.15,   1.09,     1.81,     0.33,     0.84,     0.15,    3.7,     0.16,     0.10,     204.,      53.,    414
 117, 12:27:26.5,  11:06:27.1, 1118.5,  17.01,   5.45,   6.37,   1.68,   3.89,   1.67,     2.14,     0.55,     1.00,     0.25,    3.2,     0.18,     0.18,     205.,     102.,    124
 118, 12:27:26.5,  11:06:28.1, 1117.3,   0.00,   0.00,   5.79,   1.72,   4.37,   2.02,     1.34,     0.44,     0.62,     0.21,    3.3,     0.00,     0.00,       0.,       0.,    110
 119, 12:27:26.5,  11:06:29.6, 1122.1,  13.58,   5.45,   4.48,   1.74,   3.20,   1.67,     1.49,     0.44,     0.70,     0.21,    2.9,     0.17,     0.17,     149.,     121.,    419
 120, 12:27:26.5,  11:06:28.3, 1123.5,   0.00,   0.00,   5.41,   2.08,   3.20,   1.79,     1.24,     0.42,     0.58,     0.20,    2.7,     0.00,     0.00,       0.,       0.,    156
 121, 12:27:26.5,  11:06:28.9, 1125.8,  28.99,   2.25,   8.97,   0.81,   4.71,   0.70,    10.75,     0.88,     5.01,     0.41,    3.9,     0.63,     0.02,     184.,       1.,    289
 122, 12:27:26.5,  11:06:26.9, 1134.7,   0.00,   0.00,   5.20,   1.25,   3.45,   0.95,     2.55,     0.58,     1.19,     0.27,    3.4,     0.00,     0.00,       0.,       0.,    159
 123, 12:27:26.5,  11:06:25.7, 1137.0,  17.32,   9.72,   5.14,   1.81,   2.52,   1.37,     1.73,     0.51,     0.81,     0.24,    3.2,     0.02,     0.17,     166.,     144.,    419
 124, 12:27:26.5,  11:06:28.3, 1135.6,  10.41,   7.50,   3.97,   1.30,   3.44,   1.60,     1.64,     0.43,     0.77,     0.20,    3.1,     0.19,     0.28,     155.,     124.,    142
 125, 12:27:26.5,  11:06:26.1, 1130.2,  25.56,   2.27,   8.07,   0.82,   3.95,   0.68,     7.74,     0.70,     3.61,     0.33,    4.5,     0.56,     0.02,     161.,       3.,    332
 126, 12:27:26.6,  11:06:28.7, 1145.6,  15.93,   2.73,   5.09,   0.88,   3.53,   0.93,     3.08,     0.38,     1.44,     0.18,    4.7,     0.24,     0.03,     174.,      14.,    252
 127, 12:27:26.6,  11:06:29.3, 1146.4,  18.24,   3.54,   8.68,   1.54,   3.66,   1.01,     3.09,     0.47,     1.44,     0.22,    3.7,     0.51,     0.10,     180.,      26.,    380
 128, 12:27:26.5,  11:06:28.2, 1146.7,   0.00,   0.00,   3.74,   1.83,   2.42,   1.70,     0.59,     0.38,     0.27,     0.18,    2.6,     0.00,     0.00,       0.,       0.,    127
 129, 12:27:26.5,  11:06:26.6, 1148.7,  20.15,   4.25,   6.66,   0.95,   4.67,   0.75,     6.74,     0.74,     3.14,     0.34,    4.6,     0.46,     0.06,     178.,       6.,    232
